reference,prediction
Krãkamngônh kawaru'ã krĩja ne kume:x tỳxkumrẽx ne ruw. Kàjkwa kurũm ne tẽn,Devint awãnnjãmnãján.
jakre. Dja me ibĩ nhym kam ityk jakôt dja,Pããrãmãhãnãjãbã.
ngômã gwaj bajangij.,19 L'hélium prend aux prêtres les vêtements sant.
"on? Bir, nã bãm ar ije me bajtem, me jamã",ajjhhmhnhjmjnjkjãhkhãmmnãj kjrãnnmã kãrjêm.
"krẽn mex, ane.",Onix le pas six a nãmãrãnnã närmn.
"15 Bir be, on dja gar ã amijo ane. Ga","Eu, tu dirê, ce que tu as fait n'a pas tort."
"jarẽnhkumrẽx, ane.",ahãbãmãnmámmàm amêmâmnánã.
me ajarẽ. Nãm Kritu'ã arê nhingrõt jakren,J'ai eu le droit de le faire.
akẽx'ã ã memã ane.,"3 Leurs familles [MTY] seront très riches [DOU],"
aro tẽn me bikprõnh djàtimã aro wadjà.,"J'ai promis à David, un homme qui m'a bien servi, et a cause de Jerêm,"
nã bãm kubê ate ikrãn Môjdjê kukràdjàbit,nããnnãmã nàn kãrã.
ajaxwe. Nãm ã kangã no tỳ:xkam kute me,-Ahmhhãh.
"amijo utàr jabej goja on amiptà, anhỹro","a ti, pêrêmê mê."
Nhym Metĩndjwỳnh Karõ dja mrãmri o ba amãnhkrut ne amãnhkrut ne amãnhkrut,Jennãhhãmãjãnáhámájá.
abenã rẽnhkam arỳm rax nhym kam mã o,Tu m'a a m a n a.
arẽnhkumrẽx.,"ahhmhãh, kãmãjãn."
memã Metĩndjwỳnh kukràdjà'ã ujarẽnho,A n'a n a n b a a r a m a d a t a p ar an a k a g am a o n n o a b n e n u n
Mỳkam ne gar tu amim imarkumrẽx kêt?,bãnããmã kãrãjãbãhãkãdãêm kênêjê kámêkêdê.
kôt amingrà nhym me kunĩ arỳm pykakam,"""Ahhãhmh. """
—Ibãm kukwakam ne ba mỳjja mex,"ahmhhãh, ajãmã, kãnã."
"Ga, pidjôrã mexkumrẽxja pumũ. Pidjôrã","Awãnn, ahãmã, aimêm."
kêtkumrẽx ne ar ba: nhym me aêrbê ngô,Agarrãmãhãnãjã.
Bẽnjadjwỳr djwỳnh kute pykakam amim,-Ahhmh.
"kaprĩ? Kati. Nàr, djãm me'õ ta kum apê",de l'Elifãm kênêm.
ba Metĩndjwỳnhkumrẽx'ã me amã ajarẽ ga,a n'a n a m a a r a t a d a k ar an am a.
jabej arỳm memã bajapôx ne me kuma.,Je m'enrãmã mãn ãhm êm am krê mên kê mê ahã kã
kam Xatanaj mẽ. Kam ne Metĩndjwỳnh,mêmêtênês nêrãnãmã.
Me kwatỳnh me'ỳr ban bôx ne kam me kra'ã memã kabẽn ne,Ils les vamãs a e les antjann anã a nã.
Ikôkam tokry,J'ai mal à la dorsum.
Idjwỳr kêt,Eu n'ai pas pris un bain.
aban kam me karõ punu janor ne kujaêko,A n'a n a a n b a d a m a k a r a g a p a t a ã n n .
"ijukri me biknor tokry djàkam tẽ. Nhym be,",Jennãhmãjãnhãmáhhájámhêhjêmên.
—Kwãrĩk wãnh Jeju kukwakam memã,"10 Saint david a continué a ir de plus en plus puissante / influente, car a"
7 Nhym kam kadjy mrãnh djwỳnh,- C'est ce que m'a dit.
ngã gar arỳm amim aby. Djãm ar akĩnh djà,ahmhhãh kãmãjãnháhnã khêmêhjên kêjmájámjh.
18 Djuãobê ngômã me angjênh djwỳnh ne,Jennês.
kuri dja nhym omũ. Nhym arỳm kôt ba,13 Alors il a nommé David comme un commandant de 1 000 soldats et a med
"Be, arỳm ga bôx ba me ikĩnhkumrẽx ne. Ne","aujourd'hui ne serait pas une bonne nouvelle pour le roi, parce qu'il est mort."
38 Dja gar ajõ amã ikôt atokry pyma ne,"Il se va, il va a dar sa approbation a te, e non a tu amie."
"ne. Kwãrĩk wãnh rã'ã, ane.",ahmhhnhãmmjãhjmãjjnãnjájkjêmnêjhênmáh.
mrãmri ne djwỳ'ã ajarẽ? Kati. Kute meo,A me qu'il n'y a a n a m a t a k a r a b a
"—Arỳm ne ba Bẽnjadjwỳr djwỳnh pumũ,",ace as SAMUEL: 12
akabẽn kêt mex ne. Kam me'õ kute amã,ahmhhjjhãmjãjmãh kãnháhnã.
"aminên amim,",28 Les agents de Solomon's ont apporté des chevaux de la région de Musri et d'autres endroits.
"65 Ne kam memã kum,",Les Israéliens se assemblaram et aramêm.
Agare amijakre. Agare ne kubê me pardja,"À la lettre du peuple juif, leur dans la langue."
àpênh ba. Djãm jabit? Kati. Tãmwã ta,Tu pour sauver les Israéliens du peuple de Madian. Je t'envoie à faire ça!
jarẽ. Kritu tyk ne akubyn tĩnjamẽ batipdji,Il a dominó a Judad para 55.
"—Be, ba ne ba Apôr kôt ar iba, anhỹro","en Syrie, près de la ville d'Hadadezer."
memã kabẽn jarẽnh kêt. Ne kwãrĩk wãnh,"et abigail, la veuga de Nabal, de la ville du Carmel."
me krãptĩ àkuro krĩkam ne memã wan krĩ,awãrãmãnãjãbãhãkãã.
djan amiwỳr kam ama. Kute mrãmri ne,"Jewãnn 8, tu es l'un qui salva les gens de vos de leurs."
"—Paur kajgon axwe, ane. Kwãrĩk wãnh",Ils feraient ce qu'ils avaient promis de faire.
"ne mar tũm, kukràdjà krax.",Mais me va a me ramener et me enfermêm me antrên.
me ren tu katon kumex.,Si tu n'avais pas fait ce qua n a m a t a a k a r a b a n e n n
"24 Ẽ, gop ar bàrire ja pumũ. Kute amim",ajjhhjãhmhnhãjnãmjmãnjkhkjêm.
35 Ba ne ba omũn me amã kôt 'ã ajarẽ.,Jennãhmãjãmhãnjájmáhhám.
nhym me ngômã ar ajadjà.,"Jehãmhhmãh, jehnãjmáhjãnh."
jabatành nyre nhĩptĩ'ã ma nhym ãmwã,nãrãmãnnãjãhã kããzã nênjêm ã êrnê mê àmê nàrê. .
akõnkrão nhỹn imã irax jarẽ ba arỳm amã,. descendants  kr.
"ne ba ikrã mex kêt. Nhym be, Metĩndjwỳnh",qu'ils n'idolàmànámán.
6 Gwaj bakamyja kwỳ arỳm nĩnh ar iwỳr,ahhmhjjhãhnjãjnãmjmãnh.
kàkam nhỹn arỳm nox ne.,deuce awãnn ahmãhnãmhãjã kãrãkã.
"15 Nhym me kàj bê kum,",Atom n. 2 atôm. amôn.
"kêt, ne tu me kuràm õ pi'ôk kaprĩ raxo","""Circumjnn."
awỳr bôx ne me amã 'êx. Ne me ikukràdjà,Jenãhmãjãmájmêjjáhãnjêhhêmhámmjâhjh.
—On ar adjumar mex. Amrẽbê ne Ibãm,"ahh. Ahmhãh, ajã."
akabẽn nhym arỳm ama. Ga me õ mỳjja,ahmhhãh kãmãjãnháhnã.
pãnh kikre'ã ijê.,"Ils ont porté les affaires difficiles à Moses/mê, mais ils ont décidé les questions qui étaient"
mexo amũ amikamẽn arỳm adjumar Nãm me amijo àmra ban àpênh djà kanga,PSALMS 135:13
axwe jarẽ. Je tô mỳkam? Nãm ã Jeju mebê,Nãmãnãhã.
me kum ikĩnh kêt kôt ar amijo aban arỳm,"-Ahh! -Oh, oh."
iren kurũm kato.,à ne pas brûler sur l'altar pour produire un arome qui plaira a Yahweh.
idjàpênh iba. Dja gar ã ikudjwa ane.,a n'a n a an a d a k a t a r a m a p a g a b ar am a.
gar amim anhỹr kêt.,Je n'a n a t a n o n n u a a r a m a d a k a
kute memã mỳjja anhỹr djwỳnhràm arẽnh,"Mais tu têmês, tômô."
"3 Nhym kam Jeju memã kum,","""ahhmh."
kute amijakreja adjumar djàkam,Ils se disaient l'un à lkãm.
maro aba. Ajitỳxo aje aprõ jakrenhkam,25 Nous voyons le mar qui est très grande [Dou ]!
kôt ar o ban kute Metĩndjwỳnhmã mry par,Atomic n.m.r.n. m.d.t.
arẽnh rã'ã. Mrãmri ne me arẽnhkumrẽx.,La guerre entre Israël et la Syrie
ngrêrebitkam kĩnh. Ne me krãptĩkam kĩnh,ahmhhnhjhãh.
kurên bõm me kurẽ. Metĩndjwỳnh me irôbê,ahmhhjhãhnh kãmjãjjmãnjnã khêmm kjênnêh ããbãkhámnáhkãdjáj kêjká kádã
nire kwỳ arỳm kam akuprõ. Bar me'ỳr tẽn,ahhmhãh kãmãnháh.
katàt ne mrã. Nhym me kute Jeju bĩnmã,Calebmnnjjmjnmhnhmmkjãnkhjknãm.
12 Ne kam arỳm ar par ku'õnh pan kam kà,nãrnnãmãnmmjãjmjamhãhmámnánjájjkã kããkmênháhjnêm ãbã mãzãdã.
"rã'ã ajte ty. Be, nãm ar ã o anhỹro tẽm tãmtã:","Quand nous. tu lese, les lieux quit a whom woum amn ahm."
"ar amijo iba? Kati, akabẽnkôt ne ba ar",Ínnjjmjnãjãmhmãhãnhjêmm.
akabẽn'ã kabẽn ne ar amã aben jabêo aben,Mais quand la Deité punir a a krrnn knrmnmmrjnknjmjrkmkrãnhmhnãm.
"kamrô ne o wadjà, kute Metĩndjwỳnhmã",ahmhhnhãhjã kãmãjháhkãnã.
amim mar 'iry kêt nhym ate apỹnh me,"Sómàmãmâmámmêm, nããnã mãrãhã."
Mat 16.13-20; Ruk 9.18-21,ahmhhjhãhnh kãmjãjjmãnjájnãkháhkã khêm kjêj kênnêh.
1 Ba ibê Djuão.,ahhmhnh.
me Metĩndjwỳnhmã ikjê rên kum kryre ne,qu'est-il ce que ils ont dit de faire.
pyràk. Dja me'õja bôx ne ã me axweo anen,"et tous leurs biens, et ils tombent dans l'ouverture et sont enterred them awãn"
Kẽn karỳro ne adjênh ne dja. Kam ne,"""Mãmãrãhãnãjáhámájã. """"mêm ãã mãdã âmâh ê àmàhm."
Nãm ã Paur kum ane.,il me dit d'énãr.
katàt ne mrã. Nhym me kute Jeju bĩnmã,"""Arbã"" (arbānjájjãjmáhmãhhámhãmjâjnákjêjkãkánãnhjhêmm."
Pedru mebê ijê djà kurũm kator.,Abadjadjádámáhánájãmãhãnãjjàmjjamhhjêhmêjhêmm.
mỳjja ja man atĩn prãm kêt ne amã uma kêt.,5 après qu'ils ont marchãmãn kãrnãjãhãkã.
prõo kĩnh kadjy kute amimar.,"12 Alors Salomon a bêbêm, ajê mêrên."
Ne mekbê Manaxekam me kwỳ kubê,Jehãhhmhnhjhkh khrhbjjnjkjmjãj kjrjbnãmkkãnnkmãknmn krã knêmm kãrn.
Atãri Kôritu 3:17,Ils damãmãnãã nãrãkãjã kãhãdãbã.
"aman arỳm tu ate ikrã. Ẽ, godja inhõ mỳjja",Jennês.
kute Rôma pumũnh kêt rã'ã ne kam 'ỳr,ahmhhãhnh kãmãjãn.
mrãnh djwỳnh'õ iwỳr bôx ne ikuri dja.,ahmhhjjhãhnjãjnãmjmãnh.
Metĩndjwỳnh arỳm gwaj bamã axwe kêt,12 antês n'obedêm.
me axweo ane. Me kute aminhinomã,"Korah 16, le groupe, l'Amalek, il n'a pas."
markumrẽx'ã aben pumũn arỳm aben,"-Ooh, ohh."
"kôt inhõ kwỳ krẽ. Bamẽ ikôt ba djwỳnhmẽ arkum,",que tu eras antêmly outsider in egyptian imprym.
aje akamymã kaprĩ jadjàr jabej nàr ar aje,"d'Ajjjah, de la ville de Shaalbon;"
kwãrĩk wãnh ajte imã ikaprĩ jadjàr kêt.,nrmnmmrnnjmjnkmkjjknãm knrjãn krãj kmã kãrhmhnhãkkãhk kjêm ã mãdmên.
7 Nhym kam ar ari 'ã aben kukij ne arĩk,"10 l'un d'eux m'a dit: ""Non, non, n'est-à-nêm?"
"Gu 'ỳr ga 'ã anhikra dji gê à kêt ne imã tĩn,",nããmãnã nêmênnês námáná nâmân nàmjã mêjê mãhãjáhêhm.
pyka kunĩkôt ajmà. Ne pykabê Xamarijkam pyka kunĩkôt ajmà. Jeju kute ar anorjabit ne ar arek Djeruxarẽkam ar,Il se rendait à la bêbên.
àpênho dja. Àpênho dja:n arỳm àpênho,42 Les aislãs de larãnãmãjã kãrjammjámnájmákán.
àbirmã arỳm õ akati 'ỳr bôx 'ỳr. Nhym kam,"L'autre de la région de Galaad et de toute la de Basãn, qu'a"
Ne mekbê Manaxekam me kwỳ kubê,ahhmhjjhnjkjmjnhkhãh kjãj krãmkkãknã kãnn khêmmã.
41 Nhym kam me kwỳ itepato mõn bôx.,"en ma présence, continulynn nãmãn kãrnã."
mã Paurmẽ Xira arkôt ajkamẽ. Me bajtembê kregu kute Metĩndjwỳnhmã amijarẽnho baja krãptĩ: arkôt ajkamẽ. Me nire,"3 pour soutenir le toit, il n'y a pas de cedro qui unit les ranges de pilars."
umar tẽ. Tẽn ũrkwãkam bôx.,Jebãrãmãjãnããhãkã kãbêmájáhmêjêhhámhênjâhjmâjnáká kêkêdã.
ikrãn omũ.,1 18 REI 21:
ar akamymã axwe jarẽn ar amã kurêo,[MET] de mono; tu constitueras leur roi.
Pedru kumrẽx 5:6,"ahhmhnh, awhãm, mãnjãh."
kute mar kadjy ne me pi'ôk no'ôk ne imõkri,Aaron et ses fils pour me servir a me ser.
mỳjja. Gar arek mekôt atĩn ne ar aba nàr,"XXXi Next, Romamti - Ezer et xii de ses fils et pariens ont été sélectionnés."
mebê 5.000o djuw mex'ỳr amijo bôx. Mỳj,Envoi-o-a-nã-mã.
Mat 12.22; Mak 3.20,mâle monarknãmmãnn.
"kum, Dja me'õ kute Erij pyràk bôx, ane.","a, qu'helium surrãm amãnnã."
7 Nhym kam ar ari 'ã aben kukij ne arĩk,de l'un d'êmê mêr.
kanga nhym me arỳm me kupa. Nhym,ahhmhãhjãnhnãmjmãjjnjêmmnênn.
mõ. Nhym kam Djuão arỳm kum kabẽn,n'est-à-mã-nã.
"4 Be, Djuão ne mry jabatànhbê kameru kĩ",Jennãhmãjãmáhãnájámhánjêm.
nàr godja me kam àpênh punu jabej. Nàr,A la brãnnããmãhãjãkã kãrnáhmjájmámhánjêjjnênhêm.
Metĩndjwỳnh Karõ 4:34,Dans la bataille.
Tãm dja ga amã kĩnhkumrẽx.,de l'altar.
kukràdjàja kôt ne me àpênh tỳx kajgobit ar,ahmhhnhãhjãjmãmjjnãnjájkãkjêjhêmnáhkênn.
apêx kadjy nàràm mry par ne kute,L'atom n.m.r.n. m.d.t..
aben pumũ. Ar kute amijaêrbê tep kwỳ,"Nous avons anénnêm, a nênãm."
memã ane. Nhym kam me arỳm axwe pãnh,"a bêm êr ãmê mê, ô çê . āmã âmá , ahm."
"inhũrkwãn kam idjàpênhmã, ane.","a me, à me à mê a m am a a n a r a ã m m me m  a t a k ar a."
29 Djãm uma ngri got. Dja prĩne meo apêx.,a qui la symbêmênnês.
bamã axwe kêt jarẽ gwaj arỳm kum bamex,mêm mem m am a m me m m  a a n a k a r a d a t a p ar a ã n m e m n
"ane, anhỹr kôt ne me arỳm kubê 30",4 Dà-leur aussi de faire une grille de bronze pour tenir le bois et les charbons à brûler.
Kubẽ ne bôx.,L'étranger est arrivé.
"tũmkam tu memã 'ã ajarẽ. Bir be, dja ã Jeju",et promam a an am a m a n a
23 Nhym kam Jeju kukwakam me kute,Jenn ahm.
"kabẽn djin abenmã kum,","krãnnêm, kãmên, ãhmãdã, ahããjã kêrêjê, bãkãrmá, mãbã nêbê mêdêkê."
"8 Be, djã nãm kubê Metĩndjwỳnh Krakam",parce qu'il fait ce que atom n.m.n. m.r.
5 Nhym kam nã kikrekam me õ àpênhmã,Jennãhmãjãnhãmmhhjmjjhnjêjnêm.
mex rã'ã ne.,krrnnmnrmmjmrjnjjrãmkjãnhmhnãjhjkmãhhã
pyka kunĩkôt ajmàn memã ijarẽ. Godja,"Les choses iront bien pour toi et pour tes descendants, et que tu vivras longtemps."
Nãm te õ mỳjja kunĩn arỳm ar akadjy õ mỳjja,de nous pour survivre Ì / pour continuer ► live. ayou our revived spirits [Mddm] amm ahm.
"Nhym be, bãm kute Jeju djir ne gu me",- Non pronãmãrã.
—Gê me kute amã axwe jarẽnh djwỳnh,"Ahâb m'a dit: ""Aháh!"
kamyre. Idjibê ne Piripi. Piripi prõ nhidjibê ne Erodjij. Nhym kam Erodji arỳm,"Aster, aster."
Metĩndjwỳnh Karõ ne ar kute amim imar ne,ahh! ajh.
—Wãnh ne me axwe pro ar akukãm rax,"l'hélium awãm ahmãn, ajã, krã."
dja me'õ kubê gwaj bajo akẽx kêtkumrẽx.,"18 Quand Zedekiah a vingt - un an,"
tũ:mràm arỳm 'ỳr o bôx. Me bakukãmãre,oewrrnnjjnmjrjkjmnhjãjhnãmhmmãhhãn kjênêm kãrmêj.
arek amijo aba tũm kôt amijo aba rã'ãmã?,"""Ahhmhãh."" ""jãmã""""... ""ah! ""."
37 Ne kam kanên arỳm ty. Nhym me,mêtêm ãmêrên êhê.
me mãnhkutã ne. Ne me'ã 'ã kàtàm,d'un prãmãnããjãhãkã.
ba ã Metĩndjwỳnhmã ar ajo idjà'wỳro ane.,Jãmjjãjmãdãnjájnãhjêjhãkã kããrã.
"tãm, Metĩndjwỳnh nhũrkwã","""Ahh, ah."
"27 Nhym memã kum,","-Ah, ahh."
arỳm amã arẽ ga kabẽn kôt ã amijo ane.,"Jennês, ahmên, bêjêm, kêrê."
ne. 'Ã ne memã djwỳ nhigot djà jakren arẽ.,", me ahmhh. ."
amim 'ã karõ kôt kute ngy kajgo jamỳnh,"3 fils de Judadá, Er, Onan, et Shelah. Leur mère était la fille de Shua."
mrãmri ne Jejubê Bẽnjadjwỳrbê kumkatibê,awãrãmnãnmãjãhnnáhmmájnêjmênjámjêmhãã.
Itẽm kêtkumrẽx,"En fait, je n'ai pas mere."
kute amijajbur ne ar bamã ano. Ne ajte,awãnn ahãmã ajã kãrã.
kaprĩbit kĩnh ne ã amijo ane. Ne arỳm amijo,et que les gens [] SYN sont prêts à faire les choses.
aben kôt ikabẽn djirkumrẽx ne abenmã,Adorer Baal ou son ídolo osculat.
memã 'ã ujarẽnhja pumũ. Metĩndjwỳnh,bêbêmàmámãmjamhãnãjájãhánáhmjànjêjjmêhhênhjjah.
16 Mebê ijê djàkam ne me arỳm me'õ,A n'a n a n n ã n m a a r a d a t a p a m n b a g a k ar an am a.
Metĩndjwỳnhmã ne ar ngri:ren kajgo. Bir,antrã anã.
8 Aje akabẽn'ã imã karõ kôt ba memã arẽ,ahhmhãh.
nhym kute ar amarkumrẽx. Kute ba ije ar,Jehohãnn. Jenã n'a rien.
arỳm kôt kĩnh.,"les prêtres, mais d'un coup, il n'y a pas."
uma:n arỳm akubyn Krituo tĩnja pumũ.,un azãnãmãhãjãkámáhájáná.
17 Mrãmri ne Metĩndjwỳnh arỳm kute,"Quando Iodin se levante a parler con eux, ils m'expriment la joie a me."
amã idjujarẽnhjakam mỳj dja gar kam ama?,29Josem antjamn anã ahmãn kãmhã.
arẽ. Dja me kuman arỳm mrãmri ikĩnho,Mais n'ont-n'nmmnn.
"48 Ẽ, ba me amã arẽ. Djãm me irax'õ, nàr memã arẽ. Kute me bakukràdjà jarẽnhkam","dà-leurs qu'il avait pris le miel du squelet du leon, car n'importe qui."
Me imã akĩ:nhkumrẽx? ane. Arkati. Nãm,"Jehãháhh, kjahmh kãjãnhjhnãmjjmãkã kjênnjájnámmn khêmêj kêhkêkmánmkhrã"
"ne mar tũm, kukràdjà krax.",mãnãmã mànmêm mêrênnê.
"prãmje, ne kam kam amikrào ba. Badjwỳ","Amonês, fils Josiah, devint le roi."
Ta ne kum kaprĩ,-Ahmhhãh.
"jarẽnh kêtri Metĩndjwỳnh kute memã kum,",de la main-d'oeuvre de l'organisation mondiale de sanãrãnn.
6 Djãm me ta kute katàt kabẽn mar ne kôt,a med am an a ar a m a n a r a d a t a k a ã a
"abyn kam ren me õ mỳjja kêtmã angrà, ane.","a, awãn anã ahmã. ajãm akã kãrã ãhã mããjmêm."
markumrẽx jabej ar badjwỳ ar ima. Djãm,"à la main droite, jusqu'à où le mura n'a pas d'arrã."
"—Bẽnjadjwỳr gop akôt ba djwỳnhmã akabẽn gê anhikrê, ane.",ahhmhnhãhjãjmãmjjnãnjhájáh.
tàmdjwỳ kute ingêt kôt amijo ba pyràk.,"28 Ils peuvent me amaldir, mais je te demande de me bénir tu."
1 Nhym kam Ikônikam Paurmẽ Banabe,"de mid, la vallen in therãm ahmãn."
Paur akubyn Djeruxarẽ'ỳr tẽm.,Les 22 d'un peuple de Judad ah aj ak a k aw an am a ar a
me kam ô'ã memã kabẽno amirĩt ne. Nhym,"Mais un jour, ils même clamarão à l'aide, e ningnn n'a làmn a n."
kukãmãkjê kukràdjà mar kêt ne kam,"Pour obtenir represam, Potiphar .. .. , ã ê â ç a a m a  a n a r a b a p a"
Djori anhõ katẽ?,- Tu n'as pas l'abón?
Ximãobê wajangare'ã ujarẽnh.,"Jedediah, qui n'a pas memê."
"omũ. Ne ar'ã kabẽn ne Jejumã kum,","aaron, dresse la cinã / la ceinture autour de lui,"
ba. Me kukràdjà punu ja ne me kum,as amn arnn krm anmr ahmmj ajmk akrã a knãm kãnjn.
"8 Me ja, me kute amidjwỳnhbito kĩnh",Idols rebãrãmámãnánããjájãháhãkádábá.
ne ajte me karõ punu nhõ mrymã akrĩ,14 quand le soldat de Juda s'est tourné et a vu qu'ils ne mentaient d'arr
6 Nhym me mã kum axwe mar prãm,et les chevaux étaient les carrãs mantãn in kãrnãmã.
"—Be, ibu'ã me ku'ê jabê ne mebê xadjudjêu nhym jabê mebê pardjêu, ane. Be,","Elijah lui a crié, awãm ahãn ajãhmã akã kãrãjmh a káh kêmnã."
Mry kaàk jatãri mryja kabẽnkôt ne mỳjja,awãnnjãmjjnãjmãhjkãkj kãrjêmmhã kênhêhhmnêjhn.
kêtdjwỳ godja me kwỳ arỳm Jeju'ỳr amijo,"Aaron, le fils era Eleazar."
"6 Be, djã nã bãm ar ikrã punun kôt ikabẽndjwỳ punu? Kati, nã bãm ar ikrã mex","Araunah l'a vu, il a quitté le lieu où il était."
Me kute Jejuo Xatanaj nhõ àpênh.,nàmàr amá anám a nãmãn ajànnã ahãjãdánjájnâm.
kum Kritu'ã ar idjujarẽnhja kĩnh. Ar ije,"Aaron, le premiera, awãn, krãm."
meo bôx. Bajbit ije memã katàt ikabẽn,Ils n'étaient pas comme le père leur. Ils ne mentaient pas.
arỳm arẽ ba arỳm me amã 'ã pi'ôk no'ôk amim karõn kute me bakukãmãremã arẽnh,Tu vas me faire retorner la terra [RHQ]?
me prãmkam ar ba. Nhym kam pi'ôk kaprĩ,10 krrnnmnrmmrjnjmjjrãmhnãjãnhmãhjhãkjêm.
bar ikĩnhkumrẽx. Kam ne bar ar akam,Vous pouvez stimuler ces mêmes lois pour régner tout ici sur la terre?
tu kôt o kangõ. Ta ne me krãptĩ:kôt o kangõ.,ahmhhnhãhjãjmãnjjnã kãmjêjhêm kênnêh kájkãkêkhámmnáh.
kam krãkamngônh nhõ bikprõnhmã ano.,"d'un autre taurêm, derên, drôn."
kàjkwakamdjwỳ Metĩndjwỳnhmã mextire,agrrnnmmnrmrjmjnjjr.
tã ku'ê djwỳnhjamã Pedru jarẽ. Ne kam,Are them arn amn. ahwh ajm.
"20 Nhym me ajte kam memã kum,",Ils étaient 288 d'entre eux.
Nãm me ã me bakukãmãremã ane nhym me,Prêmedjãmjêmãjájjmáhãhmêhhámhê.
Dja gwaj o baba 'ikrãn ne.,ahmhhjhnhãh.
31 Nhym Paur arỳm me krãkamngônhmẽ,ahmhhjhãh kãjjãmã khêmjáhnãnhájmêh ãbããkã êjên kê kámánjjamm.
djwỳnh'ã ne me kute bàygogo djê djwỳnhja,ahhmhjjmjhnjãhãjnãmmãnhkjkãkmnnmkh.
abenã ar mẽnhkam ne ar krãptĩkumrẽxbê 75.,"ara aaa a ajaa, aama. Aah ahã amã."
'õ pãnh pĩte'y'ã jêtja pumũnh ne kute mar,23 Escriber les noms des hommes qui ont entre 30 et 50 ans.
"55 aje mar kêtkumrẽx. Nhym be, bajbit ije",nãnnã nän nàn kãmãjã.
