id,kayapo,ingles,linha_original
325,Ngà mã ne ba tẽ I'm going to the men's,house,Ngà mã ne ba tẽ I'm going to the men's house
326,Krĩrax mã ne ba tẽ I'm going to the,town,Krĩrax mã ne ba tẽ I'm going to the town
327,Krĩrax mã ne ba tẽ,I'm going to the city,Krĩrax mã ne ba tẽ	I'm going to the city
328,Inhũrkwã mã ne ba tẽ,I'm going to my house,Inhũrkwã mã ne ba tẽ		I'm going to my house
329,Djãm ngô'ỳr ne ga tẽ?,Are you going to the river?,Djãm ngô'ỳr ne ga tẽ?	 Are you going to the river?
330,"Kati. Inhũrkwã'ỳr ne ba tẽ. No, I'm going to my",house,"Kati. Inhũrkwã'ỳr ne ba tẽ. No, I'm going to my house"
331,Ba akôt tẽ,"I'm going with you, ok?","Ba akôt tẽ	I'm going with you, ok?"
332,Gu 'ỳr,"Sure, let's go!","Gu 'ỳr	Sure, let's go!"
333,Arỳm ne ba itẽmmã,I'm going now.,Arỳm ne ba itẽmmã	 I'm going now.
334,Anũ mã,Then go,Anũ mã	Then go
335,akôt,with you,akôt		with you
336,arỳm,now,arỳm		now
337,arỳm,in this moment,arỳm		in this moment
338,ikôt,with me,ikôt		with me
339,itẽmmã,I'm going,itẽmmã	I'm going
340,kati,no,kati		no
341,ar akôt tẽ,They are going with you,ar akôt tẽ	They are going with you
342,Kôkôti akôt tẽ,Kôkôti is going with you,Kôkôti akôt tẽ	Kôkôti is going with you
343,Me akôt tẽ,They are going with you,Me akôt tẽ	They are going with you
344,Ba me kôt tẽ,I'm going with everyone,Ba me kôt tẽ	 I'm going with everyone
345,Ba ar kôt tẽ,I'm going with them,Ba ar kôt tẽ	 I'm going with them
346,Ba kôt tẽ,I'm going with him,Ba kôt tẽ	 I'm going with him
347,Ba ar akôt tẽ,I'm going with you,Ba ar akôt tẽ	 I'm going with you
348,Ba inã kôt tẽ,I'm going with my mother,Ba inã kôt tẽ	 I'm going with my mother
349,Me bêngôkre kabẽn ne mexkumrẽx,Kayapo is a beautiful language,Me bêngôkre kabẽn ne mexkumrẽx	Kayapo is a beautiful language
350,Ije akabẽn mar prãmã,I want to learn to speak your language,Ije akabẽn mar prãmã		I want to learn to speak your language
351,"Gop imã me akabẽn katàt jarẽ, nẽn?","Whenever I make a mistake, correct me, alright?","Gop imã me akabẽn katàt jarẽ, nẽn?	Whenever I make a mistake, correct me, alright?"
352,"Ije mar ngrire rã'ã So far, I only understand a little",bit!,"Ije mar ngrire rã'ã So far, I only understand a little bit!"
353,gop,expression,gop expression
354,ije,I,ije I
355,jarẽ,to say,jarẽ		to say
356,kabẽn,to talk,kabẽn	 to talk
357,katàt,the correct way to talk,katàt	 the correct way to talk
358,mar to,understand,mar to understand
359,mexkumrẽx,very good!,mexkumrẽx	 very good!
360,nẽn it's,correct!,nẽn it's correct!
361,ngrire,a little,ngrire	a little
362,ngrire,a few,ngrire	a few
363,rã'ã,still,rã'ã		still
364,"Ajte akatibê, nẽn?","let's study again tomorrow, ok?","Ajte akatibê, nẽn?	let's study again tomorrow, ok?"
365,Ajte arẽ,repeat,Ajte arẽ		repeat
366,Ajte ja jarẽ,repeat that,Ajte ja jarẽ		repeat that
367,Ajte kunĩ jarẽ,repeat the whole phrase,Ajte kunĩ jarẽ	repeat the whole phrase
368,Arỳmne ba kuma,now I understand,Arỳmne ba kuma	now I understand
369,Gu badjàpênh o nhỹ,let's start to work,Gu badjàpênh o nhỹ	let's start to work
370,Ije mar kêt rã'ã,I still don't understand,Ije mar kêt rã'ã	I still don't understand
371,Imã ja jarẽ tell this to,me,Imã ja jarẽ tell this to me
372,Imã ja kunĩ jarẽ,tell me the whole thing,Imã ja kunĩ jarẽ		tell me the whole thing
373,"Johnny, arỳm ne ba awỳr bôx.","Johnny, I arrived","Johnny, arỳm ne ba awỳr bôx.		Johnny, I arrived"
374,Djãm ga?,Is it you?,Djãm ga?		Is it you?
375,"Ãã, bakêt",It's really me!,"Ãã, bakêt	 It's really me!"
376,Djãm amã tyrti kĩnh?,do you like bananas?,Djãm amã tyrti kĩnh?		do you like bananas?
377,"Ãã, imã tyrti kĩnh. Yes, I",do.,"Ãã, imã tyrti kĩnh. Yes, I do."
378,"Mĩ, 'õ by",Get some,"Mĩ, 'õ by	 Get some"
379,Tyrtija ne ànhkumrẽx.,Imã ành. These bananas are delicious! I love them!,Tyrtija ne ànhkumrẽx.	Imã ành. These bananas are delicious! I love them!
380,Arỳmne ba itẽmmã.,I'm already leaving,Arỳmne ba itẽmmã.	 I'm already leaving
381,bôx to,arrive,bôx to arrive
382,bôx to,come,bôx to come
383,ja,this,ja	this
384,kêt,really,kêt really
385,kêt,trully,kêt trully
386,kumrẽx,really,kumrẽx	really
387,mĩ,take it,mĩ	take it
388,tyrti,banana,tyrti	 banana
389,Djãm amã tyrti kĩnh?,Do you like banana?,Djãm amã tyrti kĩnh?		Do you like banana?
390,Djãm amã môp kĩnh?,Do you like cara?,Djãm amã môp kĩnh?		Do you like cara?
391,Djãm amã jàt kĩnh?,Do you like sweet potato?,Djãm amã jàt kĩnh?		Do you like sweet potato?
392,Djãm amã mry kĩnh?,Do you like meat?,Djãm amã mry kĩnh?		Do you like meat?
393,Djãm amã djwỳ kĩnh?,Do you like beiju?,Djãm amã djwỳ kĩnh?		Do you like beiju?
394,Djãm amã bày kĩnh?,Do you like corn?,Djãm amã bày kĩnh?		Do you like corn?
395,"Ãã, imã tyrti kĩnh","Yes, I like banana","Ãã, imã tyrti kĩnh	Yes, I like banana"
396,"Ãã, imã môp kĩnh","Yes, I like cara","Ãã, imã môp kĩnh	Yes, I like cara"
397,"Ãã, imã jàt kĩnh","Yes, I like sweet potato.","Ãã, imã jàt kĩnh	Yes, I like sweet potato."
398,"Ãã, imã mry kĩnh","Yes, I like meat.","Ãã, imã mry kĩnh	Yes, I like meat."
399,"Ãã, imã djwỳ kĩnh","Yes, I like beiju.","Ãã, imã djwỳ kĩnh	Yes, I like beiju."
400,"Ãã, imã bày kĩnh","Yes, I like corn.","Ãã, imã bày kĩnh	Yes, I like corn."
401,Djãm amã prãm?,Are you hungry?,Djãm amã prãm?	Are you hungry?
402,"Ãã, imã prãm","Yes, I am","Ãã, imã prãm		Yes, I am"
403,Djãm amã tyrti kĩnh?,Do you like banana?,Djãm amã tyrti kĩnh?		Do you like banana?
404,Djãm amã tyrti kĩnh?,Do you accept banana?,Djãm amã tyrti kĩnh?		Do you accept banana?
405,"Ãã, imã tyrti kĩnh","Yes, I like","Ãã, imã tyrti kĩnh		Yes, I like"
406,"Ãã, imã tyrti kĩnh","Yes, I accept","Ãã, imã tyrti kĩnh		Yes, I accept"
407,"Mĩ, 'õ by",Get some,"Mĩ, 'õ by	 Get some"
408,Imã tyrti prãm,I want bananas,Imã tyrti prãm	I want bananas
409,Imã bày prãm,I want corn,Imã bày prãm	I want corn
410,Imã jàt prãm,I want sweet potato,Imã jàt prãm	I want sweet potato
411,Imã tyrti kĩnh,I like banana,Imã tyrti kĩnh	I like banana
412,Imã bày kĩnh,I like corn,Imã bày kĩnh	I like corn
413,Imã jàt kĩnh,I like sweet potato,Imã jàt kĩnh	I like sweet potato
414,Imã tyrti djành,I really like banana,Imã tyrti djành	I really like banana
415,Imã bày djành,I really like corn,Imã bày djành	I really like corn
416,Imã jàt djành,I really like sweet potato,Imã jàt djành	I really like sweet potato
417,kry to feel,cold,kry to feel cold
418,kôr to be,thirsty,kôr to be thirsty
419,Djãm amexkumrẽx?,Are you felling alright?,Djãm amexkumrẽx?		Are you felling alright?
420,Kati. Ikanê.,"No, I'm sick.","Kati. Ikanê.		No, I'm sick."
421,Mỳj ne ajã? What are you,felling?,Mỳj ne ajã? What are you felling?
422,Ikrãkam tokry,I have a terrible headache,Ikrãkam tokry	 I have a terrible headache
423,Djãm arỳm ne ga anhõ pidjỳ krẽ? Did you take some,medicine?,Djãm arỳm ne ga anhõ pidjỳ krẽ? Did you take some medicine?
424,"Nà, ajbir ne ba inhõ pidjỳ krẽ. Birãm tebê imex jabey","Yes, I already took it. Maybe, I'll get better.","Nà, ajbir ne ba inhõ pidjỳ krẽ. Birãm tebê imex jabey	 Yes, I already took it. Maybe, I'll get better."
425,ajbir,right now,ajbir	 right now
426,ajte,another time,ajte		another time
427,ajte,again,ajte		again
428,birãm,maybe,birãm	 maybe
429,imexkumrẽx,I'm well,imexkumrẽx	I'm well
430,imexkumrẽx,I'm fine,imexkumrẽx	I'm fine
431,imexkumrẽx,I'm healthy,imexkumrẽx	I'm healthy
432,inhõ,my,inhõ		my
433,tebê,quickly,tebê		quickly
434,tokry,to feel pain,tokry	 to feel pain
435,Imex,I'm ok,Imex		I'm ok
436,Imex,I'm fine,Imex		I'm fine
437,Ingryk,I'm angry,Ingryk	I'm angry
438,Ikaprĩre,I'm sad,Ikaprĩre		I'm sad
439,Irerekre,I'm weak,Irerekre		I'm weak
440,Ikatyk,I'm tired,Ikatyk	I'm tired
441,Ikanê,I'm sick,Ikanê	 I'm sick
442,Itỳx,I'm strong,Itỳx		I'm strong
443,Itỳx,I'm healty,Itỳx		I'm healty
444,Ipunu,I'm bad,Ipunu	 I'm bad
445,Ipunu,I'm not well,Ipunu	 I'm not well
446,Amex,You're ok,Amex		You're ok
447,Amex,You're fine,Amex		You're fine
448,Angryk,You're angry,Angryk	You're angry
449,Akaprĩre,You're sad,Akaprĩre		You're sad
450,Arerekre,You're weak,Arerekre		You're weak
451,Akatyk,You're tired,Akatyk	You're tired
452,Akanê,You're sick,Akanê	 You're sick
453,Atỳx,You're strong,Atỳx		You're strong
454,Apunu,You're bad,Apunu	 You're bad
455,Apunu,You're not well,Apunu	 You're not well
456,Djãm amexkumrẽx?,Are you ok?,Djãm amexkumrẽx?		Are you ok?
457,Djãm angryk?,Are you angry?,Djãm angryk?		Are you angry?
458,Djãm akaprĩre?,Are you sad?,Djãm akaprĩre?		Are you sad?
459,Djãm arerekre?,Are you sad?,Djãm arerekre?		Are you sad?
460,Djãm akatyk?,Are you weak?,Djãm akatyk?		Are you weak?
461,Djãm akanê?,Are you sick?,Djãm akanê?		Are you sick?
462,Djãm amexkumrẽx?,Are you ok?,Djãm amexkumrẽx?		Are you ok?
463,"Kati. Ikĩnh No, I'm",happy,"Kati. Ikĩnh No, I'm happy"
464,Mỳj ne ga o nhỹ?,What are you doing?,Mỳj ne ga o nhỹ?		What are you doing?
465,Pi'y ne ba ka'uk o nhỹ. I'm pounding,nuts,Pi'y ne ba ka'uk o nhỹ. I'm pounding nuts
466,Pi'y ne ba ka'uk o nhỹ. I'm crushing,nuts,Pi'y ne ba ka'uk o nhỹ. I'm crushing nuts
467,Mỳj ne akra krẽn o nhỹ? What are your son,eating?,Mỳj ne akra krẽn o nhỹ? What are your son eating?
468,Jàt ne ikra krẽn o nhỹ,He is eating sweet potato,Jàt ne ikra krẽn o nhỹ	He is eating sweet potato
469,Djãm amã jàt kĩnh?,Do you want sweet potato?,Djãm amã jàt kĩnh?	Do you want sweet potato?
470,"Kati. Ajbir ne ba inhõ kwỳ krẽ. No, I just",eat,"Kati. Ajbir ne ba inhõ kwỳ krẽ. No, I just eat"
471,Arỳm ne ba ijajne,I'm satisfied,Arỳm ne ba ijajne	 I'm satisfied
472,Kwỳr ne ba ka'uk o nhỹ,I'm pounding cassava,Kwỳr ne ba ka'uk o nhỹ	I'm pounding cassava
473,Kwỳr ne ba ka'uk o nhỹ,I'm crushing cassava,Kwỳr ne ba ka'uk o nhỹ	I'm crushing cassava
474,Bày ne ne ba ka'uk o nhỹ,I'm pounding corn,Bày ne ne ba ka'uk o nhỹ	I'm pounding corn
475,Bày ba ka'uk o nhỹ,I'm crushing corn,Bày ba ka'uk o nhỹ	I'm crushing corn
476,Tyrti djô ba ka'uk o nhỹ,I'm pounding bananas,Tyrti djô ba ka'uk o nhỹ	I'm pounding bananas
477,Tyrti djô ba ka'uk o nhỹ,I'm crushing bananas,Tyrti djô ba ka'uk o nhỹ	I'm crushing bananas
478,Pi'y ne ba krẽn o nhỹ,I'm eating nuts,Pi'y ne ba krẽn o nhỹ	 I'm eating nuts
479,Bày ne ba krẽn o nhỹ,I'm eating corn,Bày ne ba krẽn o nhỹ	 I'm eating corn
480,Tyrti ne ba krẽn o nhỹ,I'm eating bananas,Tyrti ne ba krẽn o nhỹ	 I'm eating bananas
481,Djwỳ ne ba krẽn o nhỹ,I'm eating beiju,Djwỳ ne ba krẽn o nhỹ	 I'm eating beiju
482,Mry ne ba krẽn o nhỹ,I'm eating meat,Mry ne ba krẽn o nhỹ	 I'm eating meat
483,Tep ne ba krẽn o nhỹ,I'm eating fish,Tep ne ba krẽn o nhỹ	 I'm eating fish
484,Ba idjàpênh o nhỹ,I'm working,Ba idjàpênh o nhỹ	 I'm working
485,Ba ingrer o nhỹ,I'm singing,Ba ingrer o nhỹ	 I'm singing
486,Ba imỳr o nhỹ,I'm crying,Ba imỳr o nhỹ	 I'm crying
487,Ba ikeket o nhỹ,I'm laughing,Ba ikeket o nhỹ	 I'm laughing
488,Djã nã gãm anhõ kwỳ krẽn o nhỹ? Are you,eating?,Djã nã gãm anhõ kwỳ krẽn o nhỹ? Are you eating?
489,Djã nã gãm karibêr o nhỹ?,Are you fanning the fire?,Djã nã gãm karibêr o nhỹ?	 Are you fanning the fire?
490,Djã nã gãm omũnh o nhỹ? Are you,seeing?,Djã nã gãm omũnh o nhỹ? Are you seeing?
491,"Kati. Nã bãm idjápênh o nhỹ No, I'm",working,"Kati. Nã bãm idjápênh o nhỹ No, I'm working"
492,"Kati. Nã bãm pi'ôk no'ôk o nhỹ No, I'm",writing,"Kati. Nã bãm pi'ôk no'ôk o nhỹ No, I'm writing"
493,"Kati. Nã bãm inhõ kwỳ krẽn o nhỹ No, I'm",eating,"Kati. Nã bãm inhõ kwỳ krẽn o nhỹ No, I'm eating"
494,Ba ikra pumũnh o nhỹ,I'm taking care of my son,Ba ikra pumũnh o nhỹ		I'm taking care of my son
495,"Johnny, mỳjneja?","Johnny, what's that?","Johnny, mỳjneja?		Johnny, what's that?"
496,Tyrtineja,It's a banana,Tyrtineja	 It's a banana
497,Mỳj tyrtineja?,what kind of banana is this?,Mỳj tyrtineja?	what kind of banana is this?
498,Tekàkamrêktineja,It's tekákamrêkti,Tekàkamrêktineja		It's tekákamrêkti
499,Jàtneja It's sweet,potato,Jàtneja It's sweet potato
500,Mỳj jàtneja?,What kind of sweet potato is this?,Mỳj jàtneja?		What kind of sweet potato is this?
501,Jàt 'oktineja,It's 'ôkti,Jàt 'oktineja	 It's 'ôkti
502,Djãm mryneja?,Is this meat?,Djãm mryneja?	 Is this meat?
503,"Nà, mryneja Yes, it's",meat,"Nà, mryneja Yes, it's meat"
504,Djãm ngijãdjyneja?,Is it venison?,Djãm ngijãdjyneja?	Is it venison?
505,Kati. Angrôneja.,"No, it's peccary meat.","Kati. Angrôneja.		No, it's peccary meat."
506,angrô,peccary,angrô	 peccary
507,ngijãdjy,deer,ngijãdjy		deer
508,'ôkti,kind of sweet potato,'ôkti	 kind of sweet potato
509,tekàkamrêkti,kind of banana,tekàkamrêkti		kind of banana
510,Bày neja,It's corn,Bày neja		It's corn
511,Pi'y neja,It's Brazil nut,Pi'y neja		It's Brazil nut
512,Pur neja,It's a farm,Pur neja		It's a farm
513,Kikre neja,It's a house,Kikre neja		It's a house
514,Ngà neja,It's a men's house,Ngà neja		It's a men's house
515,Imô neja,It's a lake,Imô neja		It's a lake
516,Kawa newa,It's a mortar and pestle,Kawa newa	 It's a mortar and pestle
517,Kubẽkà newa,It's a cloth,Kubẽkà newa	 It's a cloth
518,Kuwy newa,It's a fire,Kuwy newa	 It's a fire
519,Ki newa,It's a clay oven,Ki newa	 It's a clay oven
520,Djudjê newa,It's a bow,Djudjê newa	 It's a bow
521,Kruw newa,It's an arrow,Kruw newa	 It's an arrow
522,Katõk newa,It's a shotgun,Katõk newa	 It's a shotgun
523,Pi'ôk newa,It's a paper,Pi'ôk newa	 It's a paper
524,Pi'ôk newa,It's a book,Pi'ôk newa	 It's a book
525,Ngônh newa,It's a metal container,Ngônh newa	 It's a metal container
526,"Maria, nhãr abãm?","Maria, where's your father?","Maria, nhãr abãm?	 Maria, where's your father?"
527,Ngàbê ne nhỹ.,He is on the men's house,Ngàbê ne nhỹ.	 He is on the men's house
528,Anãdjwỳ. Nhãr anã?,And where's your mother?,Anãdjwỳ. Nhãr anã?	And where's your mother?
529,Inã ne me kôt purmã mõ,My mother went to the farm with the others.,Inã ne me kôt purmã mõ	My mother went to the farm with the others.
530,Arỳm me bôx 'ỳr.,They'll come back soon.,Arỳm me bôx 'ỳr.		They'll come back soon.
531,Nhãr akamy? Where's your,brother,Nhãr akamy? Where's your brother
532,Ikamy me prĩrekôt bixaêro ba,My brother is playing with the others kids,Ikamy me prĩrekôt bixaêro ba		My brother is playing with the others kids
533,Nhãr akanikwỳnh?,Where's your sister?,Nhãr akanikwỳnh?		Where's your sister?
534,Ikanikwỳnh ne kupipkam nhỹ,My sister is sitting on the mat.,Ikanikwỳnh ne kupipkam nhỹ	My sister is sitting on the mat.
535,bãm,father,bãm father
536,nã,mother,nã	mother
537,djwỳ,also,djwỳ		also
538,kanikwỳnh,sister,kanikwỳnh	 sister
539,kamy,brother,kamy		brother
540,kupip,sleeping mat,kupip	 sleeping mat
541,me prĩre,kids,me prĩre		kids
542,Nhãr akra?,Where's your son?,Nhãr akra?	Where's your son?
543,Nhãr akra?,Where's your daughter?,Nhãr akra?	Where's your daughter?
544,Kikrekam ne dja He's at,home,Kikrekam ne dja He's at home
545,Kupipkam ne nhỹ He's sitting on the,mat,Kupipkam ne nhỹ He's sitting on the mat
546,Ngô'ỳr ne tẽ,He went to the river,Ngô'ỳr ne tẽ		He went to the river
547,Purmã ne tẽ He went to the,farm,Purmã ne tẽ He went to the farm
548,Pykabê ne nhỹ,He's sitting on the ground,Pykabê ne nhỹ	 He's sitting on the ground
549,Krĩbê ne nhỹ,He's at home or in the village.,Krĩbê ne nhỹ		He's at home or in the village.
550,Nhãr djwỳ?,Where's beiju?,Nhãr djwỳ?	Where's beiju?
551,Nãr djwỳ?,Where's beiju?,Nãr djwỳ?	Where's beiju?
552,Nhãr jàt?,Where's sweet potatoes?,Nhãr jàt?	Where's sweet potatoes?
553,Nhãr tyrti?,Where's bananas?,Nhãr tyrti?	Where's bananas?
554,Nhãr pi'y?,Where's the nuts?,Nhãr pi'y?	Where's the nuts?
555,Nãr jàt?,Where's sweet potatoes?,Nãr jàt?	Where's sweet potatoes?
556,Nãr tyrti?,Where's bananas?,Nãr tyrti?	Where's bananas?
557,Nãr pi'y?,Where's the nuts?,Nãr pi'y?	Where's the nuts?
558,Ngônhkam ne djwỳ,It's on pot,Ngônhkam ne djwỳ	 It's on pot
559,Pĩponh'ã ne nõ,They're on the table,Pĩponh'ã ne nõ	 They're on the table
560,Kikrekam ne nõ,They're inside the house,Kikrekam ne nõ	 They're inside the house
561,Wãnhne nõ,They are there,Wãnhne nõ	 They are there
562,nhiruwa mother (talking,to),nhiruwa mother (talking to)
563,nã,mother (talking about),nã	mother (talking about)
564,djũnwa father (talking,to),djũnwa father (talking to)
565,bãm,father (talking about),bãm	father (talking about)
566,àpnhire sister (talking,to),àpnhire sister (talking to)
567,kanikwỳnh,sister (talking about),kanikwỳnh	sister (talking about)
568,akmẽre brother (talking,to),akmẽre brother (talking to)
569,kamy,brother (talking about),kamy	brother (talking about)
570,tujwa grandma (talking,to),tujwa grandma (talking to)
571,kwatỳnh,grandma (talking about),kwatỳnh	grandma (talking about)
572,tujwa aunt (talking,to),tujwa aunt (talking to)
573,kwatỳnh,aunt (talking about),kwatỳnh	aunt (talking about)
574,ngetwa grandpa (talking,to),ngetwa grandpa (talking to)
575,inget,grandpa (talking about),inget	grandpa (talking about)
576,ngetwa aunt (talking,to),ngetwa aunt (talking to)
577,inget,aunt (talking about),inget	aunt (talking about)
578,"Maria, mỳj ne ga o dja? Maria, what are you",doing?,"Maria, mỳj ne ga o dja? Maria, what are you doing?"
579,Kupip ne ba 'yr o dja,I’m weaving a sleeping mat,Kupip ne ba 'yr o dja	I’m weaving a sleeping mat
580,Nhym akamydjwỳ. Djãm kupip ne 'yr o dja?,"And your brother, is he also weaving a sleeping mat?","Nhym akamydjwỳ. Djãm kupip ne 'yr o dja?		And your brother, is he also weaving a sleeping mat?"
581,Kati. Kruw ne imrô o nhỹ,"No, he's putting feathers on some arrows","Kati. Kruw ne imrô o nhỹ		No, he's putting feathers on some arrows"
582,Arỳm ne ba kuma.,"Now, I understand!","Arỳm ne ba kuma.		Now, I understand!"
583,Mỳj ne me prĩre o ba?,What are the kids doing?,Mỳj ne me prĩre o ba?	 What are the kids doing?
584,Me bixaêr o ba,They're playing.,Me bixaêr o ba	They're playing.
585,imrô,to warp,imrô		to warp
586,kruw,arrow,kruw		arrow
587,kuma,to know,kuma		to know
588,kuma,to understand,kuma		to understand
589,o dja,to do,o dja	 to do
590,o dja,to make,o dja	 to make
591,'yr to,weave,'yr to weave
592,Nã bãm 'yr o dja,I'm weaving,Nã bãm 'yr o dja		I'm weaving
593,Nã gãm 'yr o dja,You're weaving,Nã gãm 'yr o dja		You're weaving
594,Nãm ar 'yr o dja,They're weaving,Nãm ar 'yr o dja		They're weaving
595,Nãm me 'yr o dja,everyone's weaving,Nãm me 'yr o dja		everyone's weaving
596,Nã bãm põnh o dja.,I'm washing,Nã bãm põnh o dja.		I'm washing
597,Nã gãm põnh o dja.,You're washing,Nã gãm põnh o dja.		You're washing
598,Nâm ar põnh o dja.,They're washing,Nâm ar põnh o dja.		They're washing
599,Nâm ar põnh o dja.,Everyone's washing,Nâm ar põnh o dja.		Everyone's washing
600,Nã bãm inhõ kwỳ krẽn o dja,I'm eating,Nã bãm inhõ kwỳ krẽn o dja	I'm eating
601,Nã gãm inhõ kwỳ krẽn o dja,You're eating,Nã gãm inhõ kwỳ krẽn o dja	You're eating
602,Nâm ar inhõ kwỳ krẽn o dja,They're eating,Nâm ar inhõ kwỳ krẽn o dja	They're eating
603,Nãm me inhõ kwỳ krẽn o dja,Everyone's eating,Nãm me inhõ kwỳ krẽn o dja	Everyone's eating
604,Kikrene ba kapõnh o dja.,I'm sweeping the house,Kikrene ba kapõnh o dja.		I'm sweeping the house
605,Ba itor o iba.,I'm dancing,Ba itor o iba.	I'm dancing
606,Ga tor o aba.,You're dancing,Ga tor o aba.	You're dancing
607,Ar tor o ba.,They're dancing,Ar tor o ba.	They're dancing
608,Me tor o ba.,Everyone's dancing,Me tor o ba.	Everyone's dancing
609,Ba itor ar o iba.,I'm dancing,Ba itor ar o iba.	 I'm dancing
610,Ba ibixaêr ar o iba.,I'm playing,Ba ibixaêr ar o iba.	 I'm playing
611,Ba ron krã ar o iba.,I'm playing ron krã,Ba ron krã ar o iba.	 I'm playing ron krã
612,Ba bora japĩn ar o iba.,I'm playing soccer,Ba bora japĩn ar o iba.	 I'm playing soccer
613,Ba karêr ar o iba.,I'm digging with a hoe,Ba karêr ar o iba.	 I'm digging with a hoe
614,Ar tor ar o ba.,They're (few) dancing,Ar tor ar o ba.	 They're (few) dancing
615,Ar bixaêr ar o ba.,They're (few) playing,Ar bixaêr ar o ba.	 They're (few) playing
616,Ar ron krã ar o ba.,They're (few) playing ron krã,Ar ron krã ar o ba.	 They're (few) playing ron krã
617,Ar bora japĩn ar o ba.,They're (few) playing soccer,Ar bora japĩn ar o ba.	 They're (few) playing soccer
618,Ar karêr ar o iba.,They're (few) digging with a hoe,Ar karêr ar o iba.	 They're (few) digging with a hoe
619,Mỳj ne ar *ar o ba? What are they (few),doing?,Mỳj ne ar *ar o ba? What are they (few) doing?
620,Àmnire,Sister,Àmnire	Sister
621,Mỳ?,What?,Mỳ? What?
622,Arỳm ne ba awỳr bôx I,arrived,Arỳm ne ba awỳr bôx I arrived
623,Nhym nã?,Who is you?,Nhym nã?		Who is you?
624,Ba,It's me,Ba	It's me
625,Djãm ga?,Is it you?,Djãm ga?		Is it you?
626,"Ãã, ba","Yes, it's me","Ãã, ba	Yes, it's me"
627,Ajbir ne ba purkurũm bôx,I just arrived from the farm,Ajbir ne ba purkurũm bôx		I just arrived from the farm
628,Djãm amã bày kĩnh?,Do you like corn?,Djãm amã bày kĩnh?	 Do you like corn?
629,"Ãã, imã kĩnhĩ",I like it too much,"Ãã, imã kĩnhĩ	 I like it too much"
630,Mĩ. Amim 'õ by,Get some for you,Mĩ. Amim 'õ by	Get some for you
631,Mrãmri. Mexkumrẽx.,It's very good.,Mrãmri. Mexkumrẽx.	It's very good.
632,amim,for myself,amim		for myself
633,kurũm,from,kurũm	 from
634,kurũm,of,kurũm	 of
635,Ikamy ne bôx.,My brother arrived.,Ikamy ne bôx.	My brother arrived.
636,Bẽnjadjwỳr ne bôx.,The boss arrived.,Bẽnjadjwỳr ne bôx.	The boss arrived.
637,Kubẽ ne bôx.,The foreigner arrived.,Kubẽ ne bôx.	The foreigner arrived.
638,Ikamy ne bôx.,My brother arrived.,Ikamy ne bôx.	My brother arrived.
639,Ibãm ne bôx.,My father arrived.,Ibãm ne bôx.	My father arrived.
640,Nhym ne bôx?,Who arrived?,Nhym ne bôx?		Who arrived?
641,Mỳj me'õ ne bôx?,Who arrived?,Mỳj me'õ ne bôx?		Who arrived?
642,Mỳj me'õ ne tỹm?,Who fell?,Mỳj me'õ ne tỹm?		Who fell?
643,Mỳj me'õ ne tyk?,Who died?,Mỳj me'õ ne tyk?		Who died?
644,Mỳj me'õ ne muw?,Who's crying?,Mỳj me'õ ne muw?		Who's crying?
645,Mỳj me'õ ne kabẽn ne?,Who's talking?,Mỳj me'õ ne kabẽn ne?		Who's talking?
646,Mỳj me'õ ne nhỹ?,Who's sitting?,Mỳj me'õ ne nhỹ?		Who's sitting?
647,Djãm arỳm ne ga djuw?,Have you already taken bath?,Djãm arỳm ne ga djuw?	 Have you already taken bath?
648,Ãã ajbir ne ba djuw.,"Yes, I finished it just now","Ãã ajbir ne ba djuw.		Yes, I finished it just now"
649,Ba te akôt itẽmmã,"I almost went with you, but it didn't work out.","Ba te akôt itẽmmã	 I almost went with you, but it didn't work out."
650,Gadjwỳ. Djãm arỳm ne ga djuw?,And you? Have you been there?,Gadjwỳ. Djãm arỳm ne ga djuw?	 And you? Have you been there?
651,Idjwỳr ket rã'ã.,Not yet.,Idjwỳr ket rã'ã.		Not yet.
652,Gu on djuw. Let's go,now.,Gu on djuw. Let's go now.
653,"Ãã, gu on. Idjwỳr prãm. Aringro tỳ:xi.",Sure! Let's go. I really want to go! It's so hot!,"Ãã, gu on. Idjwỳr prãm. Aringro tỳ:xi.	Sure! Let's go. I really want to go! It's so hot!"
654,djwỳ,too,djwỳ		too
655,djwỳr,to take a bath,djwỳr	 to take a bath
656,djuw,to take a bath,djuw		to take a bath
657,on,to start an action,on	to start an action
658,on,to go,on	to go
659,te,in vain,te	in vain
660,te,unsuccessful,te	unsuccessful
661,Itẽm kêt,I didn't go,Itẽm kêt		I didn't go
662,Itor kêt,I didn't dance,Itor kêt		I didn't dance
663,Inõr kêt,I didn't lie down,Inõr kêt		I didn't lie down
664,Idjwỳr kêt,I didn't take bath,Idjwỳr kêt		I didn't take bath
665,Irwỳk kêt,I didn't go down,Irwỳk kêt		I didn't go down
666,Imỳr kêt,I didn't cry,Imỳr kêt		I didn't cry
667,Inhõt kêt,I didn't sleep,Inhõt kêt		I didn't sleep
668,Ba tẽ,I went,Ba tẽ	 I went
669,Ba to,I danced,Ba to	 I danced
670,Ba nõ,I lay down,Ba nõ	 I lay down
671,Ba djuw,I took bath,Ba djuw	 I took bath
672,Ba ruw,I went down,Ba ruw	 I went down
673,Ba muw,I cried,Ba muw	 I cried
674,Ba ngõr,I slept,Ba ngõr	 I slept
